4,5,5,4,4,5,5,4,4,5,5,4,4,6,6,2,2
5,4,4,5,5,4,4,5,5,4,4,6,6,6,6,2,2
5,4,4,5,5,4,4,5,5,4,4,6,6,6,6,2,2
4,5,5,4,4,5,5,4,4,5,5,6,6,3,3,2,2
4,5,5,4,4,5,5,4,4,5,5,6,6,3,3,2,2
5,4,4,5,5,4,4,5,5,6,6,6,6,2,2,0,0
5,4,4,5,5,4,4,5,5,6,6,6,6,2,2,0,0
4,5,5,4,4,5,5,4,4,6,6,3,3,2,2,0,0
4,5,5,4,4,5,5,4,4,6,6,3,3,2,2,0,0
5,4,4,5,5,6,6,6,6,3,3,2,2,0,0,0,0
5,4,4,5,5,6,6,6,6,3,3,2,2,0,0,0,0
4,6,6,6,6,6,6,3,3,2,2,0,0,0,0,0,0
4,6,6,6,6,6,6,3,3,2,2,0,0,0,0,0,0
6,6,6,3,3,2,2,2,2,0,0,0,0,0,0,0,0
6,6,6,3,3,2,2,2,2,0,0,0,0,0,0,0,0
2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
