4,9,9,4,4,9,9,4,4,7,7,4,4,6,6,2,2
9,4,4,8,8,4,4,8,8,4,4,11,11,6,6,2,2
9,4,4,8,8,4,4,8,8,4,4,11,11,6,6,2,2
4,8,8,4,4,8,8,4,4,8,8,6,6,3,3,2,2
4,8,8,4,4,8,8,4,4,8,8,6,6,3,3,2,2
9,4,4,8,8,4,4,8,8,10,10,6,6,2,2,0,0
9,4,4,8,8,4,4,8,8,10,10,6,6,2,2,0,0
4,8,8,4,4,8,8,4,4,6,6,3,3,2,2,0,0
4,8,8,4,4,8,8,4,4,6,6,3,3,2,2,0,0
7,4,4,8,8,10,10,6,6,3,3,2,2,0,0,0,0
7,4,4,8,8,10,10,6,6,3,3,2,2,0,0,0,0
4,11,11,6,6,6,6,3,3,2,2,0,0,0,0,0,0
4,11,11,6,6,6,6,3,3,2,2,0,0,0,0,0,0
6,6,6,3,3,2,2,2,2,0,0,0,0,0,0,0,0
6,6,6,3,3,2,2,2,2,0,0,0,0,0,0,0,0
2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
