8,6,6,9,9,6,6,7,7,6,6,4,4,2,2,10,10
6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,10,10
6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,10,10
9,6,6,7,7,6,6,9,9,6,6,3,3,1,1,10,10
9,6,6,7,7,6,6,9,9,6,6,3,3,1,1,10,10
6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,10,10
6,6,6,6,6,6,6,6,6,6,6,2,2,1,1,10,10
7,6,6,9,9,6,6,9,9,5,5,2,2,10,10,10,10
7,6,6,9,9,6,6,9,9,5,5,2,2,10,10,10,10
6,6,6,6,6,6,6,5,5,2,2,10,10,10,10,0,0
6,6,6,6,6,6,6,5,5,2,2,10,10,10,10,0,0
4,2,2,3,3,2,2,2,2,10,10,10,10,0,0,0,0
4,2,2,3,3,2,2,2,2,10,10,10,10,0,0,0,0
2,1,1,1,1,1,1,10,10,10,10,0,0,0,0,0,0
2,1,1,1,1,1,1,10,10,10,10,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0
